,id,tweet,clean_tweet
165,1468132291654434821,"@jokowi Assalamu'alaikum wrwb pak jokowi,penerapan PPKM pd saat NAtaru hrs dilakukan,krn siapa yg bs mnjamin indonesia bebas dr covid 19.jng hnya pd saat Perayaan Idul fitri&amp;Idul Adha saja diberlakukan PPKM.hrus adil utk seluruh rakyat indonesia#SalamInspirasiIndinesia",assalamu alaikum wrwb jokowi terap ppkm pd nataru hrs krn  bs mnjamin indonesia bebas  covid jng hnya pd raya idul fitri amp idul adha laku ppkm hrus adil utk rakyat indonesia salaminspirasiindinesia
166,1468132283567669249,Ppkm batal???,ppkm batal
167,1468132231105298432,@pitasuar2 Gajadi ppkm to 😅,gajadi ppkm to
168,1468132209118744576,"PPKM level 3 batal???🤔 berarti liburan harus gasss dong?

Alamat bengkel
🏠 Jl. Deandles Jalan Dringu Probolinggo 
Timur TWSl sebelah Utara Jalan

Follow dulu akun @bengkelkenzo_probolinggo

Atau klik link instagram di bawah ini : https://t.co/GUx8R5hPSZ https://t.co/V9Njj6P5AH",ppkm level batal libur gasss alamat bengkel jl deandles jalan dringu probolinggo timur twsl belah utara jalan follow akun probolinggo klik link instagram
169,1468132003320979457,PPKM level 3 batal atau tdk jadi di berlakukan karena tdk bertepatan dengan hari hari besarnya umat  Islam yang biasanya selama selalu di berlakukan .,ppkm level batal tdk laku tdk tepat besar umat islam laku
170,1468131958878138371,"@efenerr Jadi, keputusan PPKM ditentukan masing-masing provinsi. Karena pada kenyataannya, tidak semua berada di level PPKM yang sama. Ya, Anies mungkin mau semuanya aman, jadi, untuk DKI dia memilih PPKM level 3",putus ppkm tentu provinsi nyata level ppkm ya anies aman dki pilih ppkm level
171,1468131943116001290,gak jadi ppkm pasti karena pemerintah lagi gak mood,tidak ppkm perintah tidak mood
172,1468131937457827840,PPKM level 3 batal dan acaranya terlanjur dicancel semua 🤣🤣🤣,ppkm level batal acara lanjur dicancel
173,1468131930117836801,Anggota Komisi IX DPR Kurniasih Mufidayati menyebut pembatalan PPKM Level 3 saat Nataru malah akan menimbulkan masalah. #kumparanNEWS https://t.co/Olq5M1QqDS,anggota komisi ix dpr kurniasih mufidayati sebut batal ppkm level nataru timbul kumparannews
174,1468131920542420992,"PPKM Level 3 batal diterapkan akhir tahun, mengapa pemerintah terkesan labil menetapkan kebijakan?

https://t.co/XBtR36DoZq",ppkm level batal terap perintah kes labil tetap bijak
175,1468131886694236161,"PPKM batal atau tidak. Yang penting jangan korbankan waktu istirahat anak2, guru dan orang tua. Perketat penerbangan luar negeri yang mau masuk. Klo ada varian baru yg diperketat yg didalem, tp luarnya jojong masuk percuma",ppkm batal korban istirahat anak guru orang tua ketat terbang negeri masuk klo varian  ketat  dalem tp luar jojong masuk
176,1468131814480900097,@detikcom Agak plin plan tapi untunglah kebijakan ppkm dicabut,plin plan untung bijak ppkm cabut
