id,tweet
1467870041060216832,serda Said Budiono anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di Rumah bapak Sunardi warga dusun dukuh02/11 desa koripan.Menghimbau dan kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/jqfvvN1px1
1467870031472119816,"PPKM Luar Jawa-Bali Diperpanjang Hingga 23 Desember Meski Tren Kasus Menurun
https://t.co/zNsdVX11P2"
1467869841633648643,Pemadaman sejak 1 Desember untuk mendukung PPKM Level 3 serentak yang akan diterapkan 24 Desember 2021-2 Januari 2022. https://t.co/ACguzEo2kw
1467869811266887680,"Aturan PPKM untuk kekayaannya yg bertambah selama PPKM, mungkin gembira! https://t.co/DRnSg31ccW"
1467869378016264194,Koptu Bakri Siompo Koramil 07/Matesih melaksanakan Patroli PPKM level 2 di Toko putra Rahayu Desa matesih jln joko songo kec. Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/mjq1Z16jjL
1467869194075078660,Koptu Bakri Siompo Koramil 07/Matesih melaksanakan Patroli PPKM level 2 di Toko putra Rahayu Desa matesih jln joko songo kec. Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/mKiIPDijCX
1467869155852357632,Koptu Bakri Siompo Koramil 07/Matesih melaksanakan Patroli PPKM level 2 di Toko putra Rahayu Desa matesih jln joko songo kec. Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/mcMFVIdQPU
1467869108637093890,Koptu Bakri Siompo Koramil 07/Matesih melaksanakan Patroli PPKM level 2 di Toko putra Rahayu Desa matesih jln joko songo kec. Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/QDu4nmaPNz
1467868983411949571,"@icokTuT kalo PPKM gak ribet, asli berangkat lho"
1467868949257674759,"@adinugrohobabeh Jangan ditahan, mari diagendakan, sebelum ppkm dilanjutkan"
1467868877702918154,"kalo pemerintah ga kasih libur, maka gue yang cabut duluan sebelum ppkm hahayyy"
1467868754922991617,KPANA JOKOWI TURUN DARI JABATANYA  YA ALLAH SUPAYA GAK ADA PPKM LAGI🥲
1467868706017447943,"Gak peduli varian Omicron dan tetek bengeknya. Bukan gak takut sama virusnya, tapi beritanya kek kiamat 1 dunia. Udahlah media Indonesia, gak tahan, kasih berita normal ajalah biar gak stress mikirin ini, mana PPKM ditambah berita kek gini."
1467868570101043204,"""Penerapan level PPKM selama Nataru akan tetap mengikuti asesmen situasi pandemi sesuai yang berlaku saat ini, tetapi dengan beberapa pengetatan,"" tegas Luhut. #kumparanNews https://t.co/UsaTn71Tny"
