date,title,clean_title
2021-12-01,Jokowi: Saya Ingin Presidensi Indonesia di G20 Tak Sebatas Seremonial,jokowi presidensi indonesia g sebatas seremonial
2021-12-01,RSUD Kota Depok Siapkan Tangki Oksigen Kapasitas 10 Ton untuk Antisipasi Gelombang Ketiga Covid-19,rsud kota depok siapkan tangki oksigen kapasitas ton antisipasi gelombang ketiga covid
2021-12-01,INFOGRAFIK: Aturan Terbaru Karantina Perjalanan Internasional,infografik aturan terbaru karantina perjalanan internasional
2021-12-01,"Hari AIDS Sedunia, Apa Bedanya HIV dengan AIDS?",aids sedunia bedanya hiv aids
2021-12-01,Lirik dan Chord Lagu Fifteen Minutes - Mike Krol,lirik chord lagu fifteen minutes mike krol
2021-12-01,9 Ruas Tol Trans-Sumatera Siap Digunakan Libur Natal dan Tahun Baru,ruas tol trans sumatera libur natal
2021-12-01,Ini Tarif Pajak Penghasilan Badan dan Cara Menghitungnya,tarif pajak penghasilan badan menghitungnya
2021-12-01,90 Persen Pasien Covid-19 di Wisma Atlet Kemayoran WNI Repatriasi,persen pasien covid wisma atlet kemayoran wni repatriasi
2021-12-01,"Program Pembibitan Ikan di Pangkalpinang Terancam Mandek, gara-gara Tak Ada Anggaran",program pembibitan ikan pangkalpinang terancam mandek gara gara anggaran
2021-12-01,"Cedera Pinggang, Kento Momota Mundur dari BWF World Tour Finals 2021 ",cedera pinggang kento momota mundur bwf world tour finals
2021-12-01,"Wisatawan Mancanegara Mulai Ramai Kunjungi Jakarta, Paling Banyak dari China",wisatawan mancanegara ramai kunjungi jakarta china
2021-12-01,8 Ras Anjing Terbaik untuk Berburu,ras anjing terbaik berburu
2021-12-01,"Bantu Atasi Stunting di Medan, Kadin Serahkan 200 Timbangan Bayi ke Kahiyang Ayu",bantu atasi stunting medan kadin serahkan timbangan bayi kahiyang ayu
2021-12-01,Randy Martin Masih Betah Jomlo sejak Putus dari Cassandra Lee,randy martin betah jomlo putus cassandra lee
2021-12-01,Lirik dan Chord Lagu Love Scene - Baekhyun EXO,lirik chord lagu love scene baekhyun exo
2021-12-01,"Rumah Dinasnya Diserang Preman, Wakil Ketua DPRD Riau Mengaku Dapat SMS Ancaman",rumah dinasnya diserang preman wakil ketua dprd riau mengaku sms ancaman
2021-12-01,"Dua Bulan PTM Terbatas, 22 Murid dan 16 Tenaga Pendidik di Tangsel Positif Covid-19",ptm terbatas murid tenaga pendidik tangsel positif covid
2021-12-01,"1.244 Warga Depok Idap HIV/AIDS, Paling Banyak di Pancoran Mas",warga depok idap hiv aids pancoran mas
2021-12-01,Indonesia Larang Kedatangan WNA dari 11 Negara akibat Varian Omicron ,indonesia larang kedatangan wna negara akibat varian omicron
2021-12-01,"Dikeluhkan karena Turun Terus , Berapa Sebenernya Anggaran MPR?",dikeluhkan turun sebenernya anggaran mpr
2021-12-01,Tarif Cukai Rokok Kemungkinan Terbit Pekan Depan,tarif cukai rokok terbit pekan
2021-12-01,"BMKG Peringatkan Potensi Siklon Tropis Teratai di Samudera Hindia, Barat Daya Lampung",bmkg peringatkan potensi siklon tropis teratai samudera hindia barat daya lampung
2021-12-01,"Viral, Video Tukang Parkir Pasar Ludahi Perempuan Berdaster di Medan, Ini Kata Polisi",viral video tukang parkir pasar ludahi perempuan berdaster medan polisi
2021-12-01,Lirik dan Chord Lagu I Don't Wanna Have to Lie - Lolo,lirik chord lagu i don t wan na have to lie lolo
2021-12-01,"5 Fakta Menarik Serial Terbaru Reza Rahadian, Layangan Putus",fakta menarik serial terbaru reza rahadian layangan putus
2021-12-01,Solidaritas Jurnalis di Semarang untuk Nurhadi Korban Kekerasan Saat Liputan,solidaritas jurnalis semarang nurhadi korban kekerasan liputan
2021-12-01,"Dekat dengan Kehidupan, Bony Wirasmono Sebut Film Nussa Cocok Ditonton Semua Kalangan",kehidupan bony wirasmono film nussa cocok ditonton kalangan
2021-12-01,Mantan Perdana Menteri Lesotho Didakwa atas Pembunuhan Istrinya,mantan perdana menteri lesotho didakwa pembunuhan istrinya
2021-12-01,"Sepenggal Cerita Petani Tembakau, dari Warisan hingga Cinta...",sepenggal cerita petani tembakau warisan cinta
2021-12-01,5 Aplikasi Gratis untuk Berbagi File di Ponsel Android,aplikasi gratis berbagi file ponsel android
2021-12-01,"Polisi: Peran 2 Terduga Teroris di Luwu Timur, Siapkan Tempat Pertemuan dan Jaga Senjata",polisi peran terduga teroris luwu timur siapkan pertemuan jaga senjata
2021-12-01,"Kesedihan Nora Alexandra Antar Jerinx ke Ruang Tahanan: Baru Bebas, Harus Masuk Lagi...",kesedihan nora alexandra jerinx ruang tahanan bebas masuk
2021-12-01,"Tiga Pelajar SMP Berkomplot dengan Residivis, Bunuh Seorang Perempuan, LPA: Ini PR Besar bagi Masyarakat dan Pemerintah",pelajar smp berkomplot residivis bunuh perempuan lpa pr masyarakat pemerintah
2021-12-01,"2 Polisi Penganiaya Jurnalis Tempo di Surabaya Dituntut 1,5 Tahun Penjara",polisi penganiaya jurnalis tempo surabaya dituntut penjara
2021-12-01,Apakah Pengidap Diabetes Boleh Makan Kurma?,pengidap diabetes makan kurma
2021-12-01,Fenomena Langit Desember 2021: Super New Moon dan 7 Puncak Hujan Meteor,fenomena langit desember super new moon puncak hujan meteor
2021-12-01,"BWF World Tour Finals: Praveen/Melati Kembali ke Ritme Permainan, tetapi... ",bwf world tour finals praveen melati ritme permainan
2021-12-01,"[HOAKS] Ada Laba-Laba Berbisa di Pantai, Bisa Membunuh dalam 5 Menit",hoaks laba laba berbisa pantai membunuh menit
2021-12-01,Penis Bengkak,penis bengkak
2021-12-01,Lirik dan Chord Lagu For Memories - Wilbur Soot,lirik chord lagu for memories wilbur soot
2021-12-01,Bersiap Liburan? Berikut Skenario Pembatasan di Sektor Transportasi,liburan skenario pembatasan sektor transportasi
2021-12-01,Firli Bahuri Berharap Tak Ada Lagi Korupsi Terkait Perizinan Investasi,firli bahuri berharap korupsi terkait perizinan investasi
2021-12-01,PLN Minta Maaf Pemeliharaan PLTGU Bikin Listrik di Batam Padam,pln maaf pemeliharaan pltgu bikin listrik batam padam
2021-12-01,"100 Anak Eks Pejuang Timtim Diminta Jokowi Kerja di BUMN, Eurico Guterres: Sejarah bagi Kami",anak eks pejuang timtim jokowi kerja bumn eurico guterres sejarah
2021-12-01,Peringatan BMKG: Banjir Rob Diprediksi Landa Pesisir Jakarta Utara 2-9 Desember,peringatan bmkg banjir rob diprediksi landa pesisir jakarta utara desember
2021-12-01,Hasil BWF World Tour Finals 2021 - Marcus/Kevin Atasi Rintangan Pertama,hasil bwf world tour finals marcus kevin atasi rintangan
2021-12-01,Langkah Membersihkan Urine Kucing pada Karpet dan Keset,langkah membersihkan urine kucing karpet keset
2021-12-01,"Lirik dan Chord Lagu Like Rain, Like Music - Baekhyun EXO",lirik chord lagu like rain like music baekhyun exo
2021-12-01,"Keributan di Cililitan, Kaca Bus Transjakarta Dipecahkan Pakai Helm",keributan cililitan kaca bus transjakarta dipecahkan pakai helm
2021-12-01,"Bocah 7 Tahun di Bandung Dicabuli Pedagang Mainan, Korban Diimingi Uang Rp 5.000",bocah bandung dicabuli pedagang mainan korban diimingi uang rp
2021-12-01,Terduga Teroris Ditangkap di Luwu Timur Berencana Serang Aparat,terduga teroris ditangkap luwu timur berencana serang aparat
2021-12-01,Aturan Naik Angkutan Umum di Jakarta selama PPKM Level 2,aturan angkutan jakarta ppkm level
2021-12-01,5 Langkah Penting untuk Bangun Kebiasaan Hidup yang Baik,langkah bangun kebiasaan hidup
2021-12-01,Jeritan PKL Menyikapi Rencana Relokasi Mereka dari Kawasan Malioboro,jeritan pkl menyikapi rencana relokasi kawasan malioboro
2021-12-01,"Pimpinan MPR Usul Sri Mulyani Dicopot, Mensesneg: Itu Urusan Presiden",pimpinan mpr usul sri mulyani dicopot mensesneg urusan presiden
2021-12-01,Bakal Ada 33.000 Lapangan Kerja Baru Berkat Indonesia Jadi Presidensi G20,lapangan kerja berkat indonesia presidensi g
2021-12-01,"BMKG Ingatkan Potensi Tsunami 8 Meter di Cilegon, Pemkot Siapkan Jalur Evakuasi Warga",bmkg ingatkan potensi tsunami meter cilegon pemkot siapkan jalur evakuasi warga
2021-12-01,"Waspada Siklon Tropis Teratai, BMKG Ingatkan Potensi Hujan Lebat serta Angin Kencang di 5 Daerah Ini",waspada siklon tropis teratai bmkg ingatkan potensi hujan lebat angin kencang daerah
2021-12-01,"Jadwal Padat Selama 2022, BTS Batal Tampil di Batam",jadwal padat bts batal tampil batam
2021-12-01,Apa Pentingnya Senjata Hipersonik?,senjata hipersonik
2021-12-01,"Bicarakan Album Peaches, Kai EXO: Saya Ingin Menunjukkan Sisi Baru",bicarakan album peaches kai exo sisi
2021-12-01,UPN Veteran Jakarta Selalu Terbuka Informasikan Meninggalnya Mahasiswa,upn veteran jakarta terbuka informasikan meninggalnya mahasiswa
2021-12-01,"Menhub Resmi Perkenalkan I-Motion, Apa Itu?",menhub resmi perkenalkan i motion
2021-12-01,Bedanya Ruang Tamu dan Ruang Keluarga,bedanya ruang tamu ruang keluarga
2021-12-01,"Petani di Bandung Makin Canggih, Dikenalkan Teknologi ""Drone"" untuk Pemupukan",petani bandung canggih dikenalkan teknologi drone pemupukan
2021-12-01,BPBD Kotabaru Kalsel Bantah Kabar Ada Korban Tewas akibat Tanah Bergerak,bpbd kotabaru kalsel bantah kabar korban tewas akibat tanah bergerak
2021-12-01,"Nia Ramadhani dan Ardi Bakrie Jalani Sidang Perdana Kasus Narkoba Besok, Begini Respons Kuasa Hukum ",nia ramadhani ardi bakrie jalani sidang perdana narkoba besok respons kuasa hukum
2021-12-01,Mahasiswa UGM Teliti Ubur-ubur sebagai Penghambat Kanker Payudara,mahasiswa ugm teliti ubur ubur penghambat kanker payudara
2021-12-01,Contoh-contoh Energi Alternatif Terbarukan,contoh contoh energi alternatif terbarukan
2021-12-01,"Ditahan Lagi, Ini Perjalanan Kasus Jerinx SID vs Adam Deni",ditahan perjalanan jerinx sid vs adam deni
2021-12-01,Lirik dan Chord Lagu Seventeen Going Under - Sam Fender,lirik chord lagu seventeen going under sam fender
2021-12-01,"Kebal Krisis, Properti Syariah Tumbuh Eksponensial Selama Pandemi",kebal krisis properti syariah tumbuh eksponensial pandemi
2021-12-01,INFOGRAFIK: Aturan Perjalanan Darat Selama Libur Natal dan Tahun Baru 2022,infografik aturan perjalanan darat libur natal
2021-12-01,"Stok Kondom KPA Pangkalpinang Menipis, Padahal Dibutuhkan Penyintas HIV/AIDS",stok kondom kpa pangkalpinang menipis dibutuhkan penyintas hiv aids
2021-12-01, Menhub Ajak Milenial Jadi Pelopor Gerakan Sadar Keselamatan Berlalu Lintas,menhub ajak milenial pelopor gerakan sadar keselamatan lintas
2021-12-01,"BWF World Tour Finals: Kalah Start dan Buru-buru, Faktor Kekalahan Pramudya/Yeremia ",bwf world tour finals kalah start buru buru faktor kekalahan pramudya yeremia
2021-12-01,Mau Sukses di Piala AFF 2020? Ikuti Aturan Ini,sukses piala aff ikuti aturan
2021-12-01,"Wapres Ma'ruf Sebut Investasi Singapura Periode Januari-September Capai 7,3 Miliar Dolar AS",wapres ma ruf investasi singapura periode januari september capai miliar dolar as
2021-12-01,"PMI Manufaktur RI 53,9, Kemenkeu: Langkah Pengendalian Pandemi Membuahkan Hasil",pmi manufaktur ri kemenkeu langkah pengendalian pandemi membuahkan hasil
2021-12-01,UPN Veteran Jakarta: Tak Ada Tanda Kekerasan Jasad Mahasiswi yang Meninggal Saat Diklat Menwa,upn veteran jakarta tanda kekerasan jasad mahasiswi meninggal diklat menwa
2021-12-01,Lirik dan Chord Lagu Rescue Me - Marshmello,lirik chord lagu rescue me marshmello
2021-12-01,"Dicoret DPRD, Anggaran Sumur Resapan Bisa untuk Tambal Gaji PJLP",dicoret dprd anggaran sumur resapan tambal gaji pjlp
2021-12-01,21 Kabupaten/Kota Alami Kenaikan Kasus Covid-19 Sepekan Terakhir,kabupaten kota alami kenaikan covid sepekan
