Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.01,0.4559673375957054
75% Corpus,3,symmetric,0.31,0.4300774815662889
75% Corpus,3,symmetric,0.61,0.36964034085590086
75% Corpus,3,symmetric,0.9099999999999999,0.37745569534572504
75% Corpus,3,symmetric,symmetric,0.4300774815662889
75% Corpus,3,asymmetric,0.01,0.42703119692328123
75% Corpus,3,asymmetric,0.31,0.2987095307163035
75% Corpus,3,asymmetric,0.61,0.2799650952755022
75% Corpus,3,asymmetric,0.9099999999999999,0.31995215055432064
75% Corpus,3,asymmetric,symmetric,0.2987095307163035
75% Corpus,4,0.01,0.01,0.4236073377839526
75% Corpus,4,0.01,0.31,0.42051028539774427
75% Corpus,4,0.01,0.61,0.39765704861676565
75% Corpus,4,0.01,0.9099999999999999,0.40917401194535746
75% Corpus,4,0.01,symmetric,0.4420827087354248
75% Corpus,4,0.31,0.01,0.40114535832868725
75% Corpus,4,0.31,0.31,0.383813796044128
75% Corpus,4,0.31,0.61,0.38445754782887837
75% Corpus,4,0.31,0.9099999999999999,0.38583011679281415
75% Corpus,4,0.31,symmetric,0.395734400269553
75% Corpus,4,0.61,0.01,0.4351364610775757
75% Corpus,4,0.61,0.31,0.41328410141814825
75% Corpus,4,0.61,0.61,0.40576266518696275
75% Corpus,4,0.61,0.9099999999999999,0.4270892761476898
75% Corpus,4,0.61,symmetric,0.4237195118208801
75% Corpus,4,0.9099999999999999,0.01,0.44540913721087166
75% Corpus,4,0.9099999999999999,0.31,0.47141730222961314
75% Corpus,4,0.9099999999999999,0.61,0.4533878794951084
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4322271334505743
75% Corpus,4,0.9099999999999999,symmetric,0.473917132377274
75% Corpus,4,symmetric,0.01,0.3985514240785354
75% Corpus,4,symmetric,0.31,0.4089432510514382
75% Corpus,4,symmetric,0.61,0.37602521500086633
75% Corpus,4,symmetric,0.9099999999999999,0.3919610104843395
75% Corpus,4,symmetric,symmetric,0.41301043065429366
75% Corpus,4,asymmetric,0.01,0.3512162530283732
75% Corpus,4,asymmetric,0.31,0.36044033767832284
75% Corpus,4,asymmetric,0.61,0.33826453478884533
75% Corpus,4,asymmetric,0.9099999999999999,0.4567492911138859
75% Corpus,4,asymmetric,symmetric,0.3212420654067949
75% Corpus,5,0.01,0.01,0.4447863429974772
75% Corpus,5,0.01,0.31,0.4290526145837162
75% Corpus,5,0.01,0.61,0.42816013058808045
75% Corpus,5,0.01,0.9099999999999999,0.43634352820017286
75% Corpus,5,0.01,symmetric,0.43477036276067194
75% Corpus,5,0.31,0.01,0.38215243865414994
75% Corpus,5,0.31,0.31,0.4269916140000108
75% Corpus,5,0.31,0.61,0.4433618921640746
75% Corpus,5,0.31,0.9099999999999999,0.4094039430265233
75% Corpus,5,0.31,symmetric,0.40056420592811603
75% Corpus,5,0.61,0.01,0.38677550640620373
75% Corpus,5,0.61,0.31,0.35835939030588276
75% Corpus,5,0.61,0.61,0.35809567716760016
75% Corpus,5,0.61,0.9099999999999999,0.3626842111932516
75% Corpus,5,0.61,symmetric,0.37127535129047784
75% Corpus,5,0.9099999999999999,0.01,0.38875997380972815
75% Corpus,5,0.9099999999999999,0.31,0.3986158385358548
75% Corpus,5,0.9099999999999999,0.61,0.3842172858898267
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.40334252184298086
75% Corpus,5,0.9099999999999999,symmetric,0.4088933761493134
75% Corpus,5,symmetric,0.01,0.42400662451695703
75% Corpus,5,symmetric,0.31,0.43716944892073295
75% Corpus,5,symmetric,0.61,0.4358173620725374
75% Corpus,5,symmetric,0.9099999999999999,0.4229439439039682
75% Corpus,5,symmetric,symmetric,0.42534428444808714
75% Corpus,5,asymmetric,0.01,0.35011324194191296
75% Corpus,5,asymmetric,0.31,0.3108021506965758
75% Corpus,5,asymmetric,0.61,0.3743974802686621
75% Corpus,5,asymmetric,0.9099999999999999,0.41956941729947655
75% Corpus,5,asymmetric,symmetric,0.3270386390021921
75% Corpus,6,0.01,0.01,0.4146843882284484
75% Corpus,6,0.01,0.31,0.4043967227423224
75% Corpus,6,0.01,0.61,0.4041314111741446
75% Corpus,6,0.01,0.9099999999999999,0.37057534331054676
75% Corpus,6,0.01,symmetric,0.42833689198113495
75% Corpus,6,0.31,0.01,0.3869851676440128
75% Corpus,6,0.31,0.31,0.3945940463717488
75% Corpus,6,0.31,0.61,0.344917458163674
75% Corpus,6,0.31,0.9099999999999999,0.350375124755673
75% Corpus,6,0.31,symmetric,0.38756247957029927
75% Corpus,6,0.61,0.01,0.3774864192000033
75% Corpus,6,0.61,0.31,0.3660697622867856
75% Corpus,6,0.61,0.61,0.3497685897350727
75% Corpus,6,0.61,0.9099999999999999,0.31031899612487795
75% Corpus,6,0.61,symmetric,0.3783852682092444
75% Corpus,6,0.9099999999999999,0.01,0.4429280609730048
75% Corpus,6,0.9099999999999999,0.31,0.3903846333335874
75% Corpus,6,0.9099999999999999,0.61,0.40925103898854953
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4841584250820898
75% Corpus,6,0.9099999999999999,symmetric,0.40472284197984526
75% Corpus,6,symmetric,0.01,0.4058715480762775
75% Corpus,6,symmetric,0.31,0.38246722543441364
75% Corpus,6,symmetric,0.61,0.37646232123298223
75% Corpus,6,symmetric,0.9099999999999999,0.3691407049218352
75% Corpus,6,symmetric,symmetric,0.385725981040155
75% Corpus,6,asymmetric,0.01,0.368836902505092
75% Corpus,6,asymmetric,0.31,0.41379022345428557
75% Corpus,6,asymmetric,0.61,0.41632912523559473
75% Corpus,6,asymmetric,0.9099999999999999,0.4200546063629809
75% Corpus,6,asymmetric,symmetric,0.35417365393214334
75% Corpus,7,0.01,0.01,0.33959861622492754
75% Corpus,7,0.01,0.31,0.3983126741419099
75% Corpus,7,0.01,0.61,0.3995961184877424
75% Corpus,7,0.01,0.9099999999999999,0.3815650971565363
75% Corpus,7,0.01,symmetric,0.3742181131592966
75% Corpus,7,0.31,0.01,0.34315898591266875
75% Corpus,7,0.31,0.31,0.3748585181157223
75% Corpus,7,0.31,0.61,0.3800235981551312
75% Corpus,7,0.31,0.9099999999999999,0.3582114131424875
75% Corpus,7,0.31,symmetric,0.3480789791086717
75% Corpus,7,0.61,0.01,0.40208987159779463
75% Corpus,7,0.61,0.31,0.3450800538652108
75% Corpus,7,0.61,0.61,0.31684961148409363
75% Corpus,7,0.61,0.9099999999999999,0.30601419805271257
75% Corpus,7,0.61,symmetric,0.3917785018888856
75% Corpus,7,0.9099999999999999,0.01,0.46339142974307784
75% Corpus,7,0.9099999999999999,0.31,0.35662698910048085
75% Corpus,7,0.9099999999999999,0.61,0.4474459897586235
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4802688061256192
75% Corpus,7,0.9099999999999999,symmetric,0.40099639691645406
75% Corpus,7,symmetric,0.01,0.35411837890794384
75% Corpus,7,symmetric,0.31,0.35045031278286504
75% Corpus,7,symmetric,0.61,0.3370788378121565
75% Corpus,7,symmetric,0.9099999999999999,0.3531701604828243
75% Corpus,7,symmetric,symmetric,0.3543950172335259
75% Corpus,7,asymmetric,0.01,0.3676875771036966
75% Corpus,7,asymmetric,0.31,0.42669146667968805
75% Corpus,7,asymmetric,0.61,0.41567127049680697
75% Corpus,7,asymmetric,0.9099999999999999,0.42906627216643756
75% Corpus,7,asymmetric,symmetric,0.38305354819574805
75% Corpus,8,0.01,0.01,0.3478405219190735
75% Corpus,8,0.01,0.31,0.34891111358466487
75% Corpus,8,0.01,0.61,0.3552715205008641
75% Corpus,8,0.01,0.9099999999999999,0.3775615675595059
75% Corpus,8,0.01,symmetric,0.33595780946049203
75% Corpus,8,0.31,0.01,0.393083557755452
75% Corpus,8,0.31,0.31,0.33074824967347305
75% Corpus,8,0.31,0.61,0.32734283912261625
75% Corpus,8,0.31,0.9099999999999999,0.31051967569133476
75% Corpus,8,0.31,symmetric,0.3551242733869102
75% Corpus,8,0.61,0.01,0.39086324440508285
75% Corpus,8,0.61,0.31,0.3283546156341737
75% Corpus,8,0.61,0.61,0.3055008674649774
75% Corpus,8,0.61,0.9099999999999999,0.39656734743692695
75% Corpus,8,0.61,symmetric,0.3512618666173619
75% Corpus,8,0.9099999999999999,0.01,0.4690259959606916
75% Corpus,8,0.9099999999999999,0.31,0.3520524041037746
75% Corpus,8,0.9099999999999999,0.61,0.49177239978376563
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4387615112065487
75% Corpus,8,0.9099999999999999,symmetric,0.40184678715480454
75% Corpus,8,symmetric,0.01,0.33910716396537893
75% Corpus,8,symmetric,0.31,0.3322528984054076
75% Corpus,8,symmetric,0.61,0.31700783661525356
75% Corpus,8,symmetric,0.9099999999999999,0.3256421969591806
75% Corpus,8,symmetric,symmetric,0.32885758741666493
75% Corpus,8,asymmetric,0.01,0.4029041999504034
75% Corpus,8,asymmetric,0.31,0.36489617420634657
75% Corpus,8,asymmetric,0.61,0.42904394123856016
75% Corpus,8,asymmetric,0.9099999999999999,0.4089107604564219
75% Corpus,8,asymmetric,symmetric,0.39113203341577185
75% Corpus,9,0.01,0.01,0.406004542437161
75% Corpus,9,0.01,0.31,0.3417176210713835
75% Corpus,9,0.01,0.61,0.3567449677551948
75% Corpus,9,0.01,0.9099999999999999,0.31703664227188516
75% Corpus,9,0.01,symmetric,0.3874240652903228
75% Corpus,9,0.31,0.01,0.3933204375709986
75% Corpus,9,0.31,0.31,0.3836659177362809
75% Corpus,9,0.31,0.61,0.3447470331304178
75% Corpus,9,0.31,0.9099999999999999,0.2966493988797916
75% Corpus,9,0.31,symmetric,0.3713206868220472
75% Corpus,9,0.61,0.01,0.38905370779484555
75% Corpus,9,0.61,0.31,0.3426280923523689
75% Corpus,9,0.61,0.61,0.36095323046226224
75% Corpus,9,0.61,0.9099999999999999,0.39962679298489673
75% Corpus,9,0.61,symmetric,0.3695660822029518
75% Corpus,9,0.9099999999999999,0.01,0.4583151109495733
75% Corpus,9,0.9099999999999999,0.31,0.33691053253729286
75% Corpus,9,0.9099999999999999,0.61,0.46951659714232247
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.42984866648297154
75% Corpus,9,0.9099999999999999,symmetric,0.4102648621909068
75% Corpus,9,symmetric,0.01,0.3802951397278925
75% Corpus,9,symmetric,0.31,0.3702438902963293
75% Corpus,9,symmetric,0.61,0.3465667221120774
75% Corpus,9,symmetric,0.9099999999999999,0.33458797394334316
75% Corpus,9,symmetric,symmetric,0.38757289650898924
75% Corpus,9,asymmetric,0.01,0.3717116138207007
75% Corpus,9,asymmetric,0.31,0.3862153909354633
75% Corpus,9,asymmetric,0.61,0.38175816664745593
75% Corpus,9,asymmetric,0.9099999999999999,0.40303009824844144
75% Corpus,9,asymmetric,symmetric,0.3954052858860469
75% Corpus,10,0.01,0.01,0.3490167627243207
75% Corpus,10,0.01,0.31,0.3673614837047562
75% Corpus,10,0.01,0.61,0.3587295716851148
75% Corpus,10,0.01,0.9099999999999999,0.3274971781480557
75% Corpus,10,0.01,symmetric,0.35608001749810614
75% Corpus,10,0.31,0.01,0.37268761714810905
75% Corpus,10,0.31,0.31,0.348731637760357
75% Corpus,10,0.31,0.61,0.34997536147726305
75% Corpus,10,0.31,0.9099999999999999,0.32939054453150846
75% Corpus,10,0.31,symmetric,0.36971750161726274
75% Corpus,10,0.61,0.01,0.38381942123674323
75% Corpus,10,0.61,0.31,0.35183495266033354
75% Corpus,10,0.61,0.61,0.39346856211486686
75% Corpus,10,0.61,0.9099999999999999,0.5294488639691048
75% Corpus,10,0.61,symmetric,0.36496535198638874
75% Corpus,10,0.9099999999999999,0.01,0.4739933383809577
75% Corpus,10,0.9099999999999999,0.31,0.33749596370478685
75% Corpus,10,0.9099999999999999,0.61,0.4351413440067116
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.43091660269589127
75% Corpus,10,0.9099999999999999,symmetric,0.40585488390483737
75% Corpus,10,symmetric,0.01,0.3465821803314049
75% Corpus,10,symmetric,0.31,0.3398864322176773
75% Corpus,10,symmetric,0.61,0.3411121176728703
75% Corpus,10,symmetric,0.9099999999999999,0.35028844139667487
75% Corpus,10,symmetric,symmetric,0.3358778826770745
75% Corpus,10,asymmetric,0.01,0.4033616739155505
75% Corpus,10,asymmetric,0.31,0.45395745792692627
75% Corpus,10,asymmetric,0.61,0.44396528139374425
75% Corpus,10,asymmetric,0.9099999999999999,0.45963907317602004
75% Corpus,10,asymmetric,symmetric,0.3949809639203168
100% Corpus,2,0.01,0.01,0.4434497883953875
100% Corpus,2,0.01,0.31,0.46178640305328456
100% Corpus,2,0.01,0.61,0.43853366834704177
100% Corpus,2,0.01,0.9099999999999999,0.3978611143121359
100% Corpus,2,0.01,symmetric,0.4425277518315891
100% Corpus,2,0.31,0.01,0.4761667194839524
100% Corpus,2,0.31,0.31,0.5116271310787273
100% Corpus,2,0.31,0.61,0.45251263002684894
100% Corpus,2,0.31,0.9099999999999999,0.4500036168012723
100% Corpus,2,0.31,symmetric,0.4814057344077787
100% Corpus,2,0.61,0.01,0.4402740414126305
100% Corpus,2,0.61,0.31,0.45293929412065226
100% Corpus,2,0.61,0.61,0.5023296352536928
100% Corpus,2,0.61,0.9099999999999999,0.5023296352536928
100% Corpus,2,0.61,symmetric,0.5003151209723313
100% Corpus,2,0.9099999999999999,0.01,0.45393949116373933
100% Corpus,2,0.9099999999999999,0.31,0.45119874517593617
100% Corpus,2,0.9099999999999999,0.61,0.4791711003914835
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4677164802470924
100% Corpus,2,0.9099999999999999,symmetric,0.4612948725669245
100% Corpus,2,symmetric,0.01,0.4362560040657146
100% Corpus,2,symmetric,0.31,0.45325649286719827
100% Corpus,2,symmetric,0.61,0.49953101196138033
100% Corpus,2,symmetric,0.9099999999999999,0.5023296352536927
100% Corpus,2,symmetric,symmetric,0.49850874165008363
100% Corpus,2,asymmetric,0.01,0.381860942104571
100% Corpus,2,asymmetric,0.31,0.30518427648490803
100% Corpus,2,asymmetric,0.61,0.30518427648490803
100% Corpus,2,asymmetric,0.9099999999999999,0.320743797099072
100% Corpus,2,asymmetric,symmetric,0.30518427648490803
100% Corpus,3,0.01,0.01,0.4539557998063331
100% Corpus,3,0.01,0.31,0.470188220130394
100% Corpus,3,0.01,0.61,0.450417114796876
100% Corpus,3,0.01,0.9099999999999999,0.4432822651576737
100% Corpus,3,0.01,symmetric,0.4278662629284984
100% Corpus,3,0.31,0.01,0.4559673375957054
100% Corpus,3,0.31,0.31,0.4442566634653124
100% Corpus,3,0.31,0.61,0.3700429127104122
100% Corpus,3,0.31,0.9099999999999999,0.3665743812570659
100% Corpus,3,0.31,symmetric,0.4442566634653124
100% Corpus,3,0.61,0.01,0.4550222734798128
100% Corpus,3,0.61,0.31,0.4695351552243781
100% Corpus,3,0.61,0.61,0.4619584515731079
100% Corpus,3,0.61,0.9099999999999999,0.4627724874859435
100% Corpus,3,0.61,symmetric,0.47504509164745645
100% Corpus,3,0.9099999999999999,0.01,0.44581581096411727
100% Corpus,3,0.9099999999999999,0.31,0.48335408851447353
100% Corpus,3,0.9099999999999999,0.61,0.45913529894066224
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4759324683178702
100% Corpus,3,0.9099999999999999,symmetric,0.48335408851447353
100% Corpus,3,symmetric,0.01,0.4559673375957054
100% Corpus,3,symmetric,0.31,0.4300774815662889
100% Corpus,3,symmetric,0.61,0.36964034085590086
100% Corpus,3,symmetric,0.9099999999999999,0.37745569534572504
100% Corpus,3,symmetric,symmetric,0.4300774815662889
100% Corpus,3,asymmetric,0.01,0.42703119692328123
100% Corpus,3,asymmetric,0.31,0.2987095307163035
100% Corpus,3,asymmetric,0.61,0.2799650952755022
100% Corpus,3,asymmetric,0.9099999999999999,0.31995215055432064
100% Corpus,3,asymmetric,symmetric,0.2987095307163035
100% Corpus,4,0.01,0.01,0.42621444364190614
100% Corpus,4,0.01,0.31,0.42051028539774427
100% Corpus,4,0.01,0.61,0.39765704861676565
100% Corpus,4,0.01,0.9099999999999999,0.40917401194535746
100% Corpus,4,0.01,symmetric,0.44372622055101235
100% Corpus,4,0.31,0.01,0.40114535832868725
100% Corpus,4,0.31,0.31,0.383813796044128
100% Corpus,4,0.31,0.61,0.38445754782887837
100% Corpus,4,0.31,0.9099999999999999,0.38583011679281415
100% Corpus,4,0.31,symmetric,0.395734400269553
100% Corpus,4,0.61,0.01,0.4351364610775757
100% Corpus,4,0.61,0.31,0.41328410141814825
100% Corpus,4,0.61,0.61,0.40576266518696275
100% Corpus,4,0.61,0.9099999999999999,0.4270892761476898
100% Corpus,4,0.61,symmetric,0.4237195118208801
100% Corpus,4,0.9099999999999999,0.01,0.44540913721087166
100% Corpus,4,0.9099999999999999,0.31,0.47141730222961314
100% Corpus,4,0.9099999999999999,0.61,0.4533878794951084
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4322271334505743
100% Corpus,4,0.9099999999999999,symmetric,0.473917132377274
100% Corpus,4,symmetric,0.01,0.3985514240785354
100% Corpus,4,symmetric,0.31,0.4089432510514382
100% Corpus,4,symmetric,0.61,0.37602521500086633
100% Corpus,4,symmetric,0.9099999999999999,0.3919610104843395
100% Corpus,4,symmetric,symmetric,0.41301043065429366
100% Corpus,4,asymmetric,0.01,0.3512162530283732
100% Corpus,4,asymmetric,0.31,0.36044033767832284
100% Corpus,4,asymmetric,0.61,0.33826453478884533
100% Corpus,4,asymmetric,0.9099999999999999,0.4567492911138859
100% Corpus,4,asymmetric,symmetric,0.3212420654067949
100% Corpus,5,0.01,0.01,0.4276606111863641
100% Corpus,5,0.01,0.31,0.42415674319496627
100% Corpus,5,0.01,0.61,0.41575262746506575
100% Corpus,5,0.01,0.9099999999999999,0.4385059365986663
100% Corpus,5,0.01,symmetric,0.43477036276067194
100% Corpus,5,0.31,0.01,0.38215243865414994
100% Corpus,5,0.31,0.31,0.4269916140000108
100% Corpus,5,0.31,0.61,0.4433618921640746
100% Corpus,5,0.31,0.9099999999999999,0.4094039430265233
100% Corpus,5,0.31,symmetric,0.40056420592811603
100% Corpus,5,0.61,0.01,0.38677550640620373
100% Corpus,5,0.61,0.31,0.35835939030588276
100% Corpus,5,0.61,0.61,0.35809567716760016
100% Corpus,5,0.61,0.9099999999999999,0.3626842111932516
100% Corpus,5,0.61,symmetric,0.37127535129047784
100% Corpus,5,0.9099999999999999,0.01,0.38875997380972815
100% Corpus,5,0.9099999999999999,0.31,0.3986158385358548
100% Corpus,5,0.9099999999999999,0.61,0.3842172858898267
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.40334252184298086
100% Corpus,5,0.9099999999999999,symmetric,0.4088933761493134
100% Corpus,5,symmetric,0.01,0.42400662451695703
100% Corpus,5,symmetric,0.31,0.43716944892073295
100% Corpus,5,symmetric,0.61,0.4358173620725374
100% Corpus,5,symmetric,0.9099999999999999,0.4229439439039682
100% Corpus,5,symmetric,symmetric,0.42534428444808714
100% Corpus,5,asymmetric,0.01,0.3511699244469656
100% Corpus,5,asymmetric,0.31,0.3108021506965758
100% Corpus,5,asymmetric,0.61,0.3743974802686621
100% Corpus,5,asymmetric,0.9099999999999999,0.41956941729947655
100% Corpus,5,asymmetric,symmetric,0.3270386390021921
100% Corpus,6,0.01,0.01,0.4146843882284484
100% Corpus,6,0.01,0.31,0.39224621495848755
100% Corpus,6,0.01,0.61,0.3977041525136624
100% Corpus,6,0.01,0.9099999999999999,0.37057534331054676
100% Corpus,6,0.01,symmetric,0.4330854159422938
100% Corpus,6,0.31,0.01,0.3869851676440128
100% Corpus,6,0.31,0.31,0.3945940463717488
100% Corpus,6,0.31,0.61,0.344917458163674
100% Corpus,6,0.31,0.9099999999999999,0.350375124755673
100% Corpus,6,0.31,symmetric,0.38756247957029927
100% Corpus,6,0.61,0.01,0.3774864192000033
100% Corpus,6,0.61,0.31,0.36383975534854907
100% Corpus,6,0.61,0.61,0.3497685897350727
100% Corpus,6,0.61,0.9099999999999999,0.31031899612487795
100% Corpus,6,0.61,symmetric,0.3783852682092444
100% Corpus,6,0.9099999999999999,0.01,0.4429280609730048
100% Corpus,6,0.9099999999999999,0.31,0.3903846333335874
100% Corpus,6,0.9099999999999999,0.61,0.40925103898854953
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4841584250820898
100% Corpus,6,0.9099999999999999,symmetric,0.40472284197984526
100% Corpus,6,symmetric,0.01,0.4058715480762775
100% Corpus,6,symmetric,0.31,0.38246722543441364
100% Corpus,6,symmetric,0.61,0.37646232123298223
100% Corpus,6,symmetric,0.9099999999999999,0.3691407049218352
100% Corpus,6,symmetric,symmetric,0.385725981040155
100% Corpus,6,asymmetric,0.01,0.368836902505092
100% Corpus,6,asymmetric,0.31,0.41379022345428557
100% Corpus,6,asymmetric,0.61,0.41632912523559473
100% Corpus,6,asymmetric,0.9099999999999999,0.4200546063629809
100% Corpus,6,asymmetric,symmetric,0.35417365393214334
100% Corpus,7,0.01,0.01,0.34543865689693093
100% Corpus,7,0.01,0.31,0.3945879491654524
100% Corpus,7,0.01,0.61,0.40467398589942777
100% Corpus,7,0.01,0.9099999999999999,0.36936343112289044
100% Corpus,7,0.01,symmetric,0.3738763824484264
100% Corpus,7,0.31,0.01,0.34315898591266875
100% Corpus,7,0.31,0.31,0.3748585181157223
100% Corpus,7,0.31,0.61,0.3800235981551312
100% Corpus,7,0.31,0.9099999999999999,0.3582114131424875
100% Corpus,7,0.31,symmetric,0.3480789791086717
100% Corpus,7,0.61,0.01,0.40208987159779463
100% Corpus,7,0.61,0.31,0.3450800538652108
100% Corpus,7,0.61,0.61,0.31684961148409363
100% Corpus,7,0.61,0.9099999999999999,0.30601419805271257
100% Corpus,7,0.61,symmetric,0.3917785018888856
100% Corpus,7,0.9099999999999999,0.01,0.46339142974307784
100% Corpus,7,0.9099999999999999,0.31,0.35662698910048085
100% Corpus,7,0.9099999999999999,0.61,0.4474459897586235
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4802688061256192
100% Corpus,7,0.9099999999999999,symmetric,0.40099639691645406
100% Corpus,7,symmetric,0.01,0.35411837890794384
100% Corpus,7,symmetric,0.31,0.35045031278286504
100% Corpus,7,symmetric,0.61,0.3370788378121565
100% Corpus,7,symmetric,0.9099999999999999,0.3531701604828243
100% Corpus,7,symmetric,symmetric,0.3543950172335259
100% Corpus,7,asymmetric,0.01,0.3676875771036966
100% Corpus,7,asymmetric,0.31,0.42669146667968805
100% Corpus,7,asymmetric,0.61,0.41567127049680697
100% Corpus,7,asymmetric,0.9099999999999999,0.42906627216643756
100% Corpus,7,asymmetric,symmetric,0.38305354819574805
100% Corpus,8,0.01,0.01,0.34700442702489914
100% Corpus,8,0.01,0.31,0.3381245947684266
100% Corpus,8,0.01,0.61,0.36933075611663485
100% Corpus,8,0.01,0.9099999999999999,0.3803700573990316
100% Corpus,8,0.01,symmetric,0.33595780946049203
100% Corpus,8,0.31,0.01,0.3892481670105874
100% Corpus,8,0.31,0.31,0.3336812945290939
100% Corpus,8,0.31,0.61,0.32734283912261625
100% Corpus,8,0.31,0.9099999999999999,0.31051967569133476
100% Corpus,8,0.31,symmetric,0.3551242733869102
100% Corpus,8,0.61,0.01,0.39086324440508285
100% Corpus,8,0.61,0.31,0.3283546156341737
100% Corpus,8,0.61,0.61,0.3055008674649774
100% Corpus,8,0.61,0.9099999999999999,0.3975987626220635
100% Corpus,8,0.61,symmetric,0.3512618666173619
100% Corpus,8,0.9099999999999999,0.01,0.4690259959606916
100% Corpus,8,0.9099999999999999,0.31,0.3520524041037746
100% Corpus,8,0.9099999999999999,0.61,0.49177239978376563
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4387615112065487
100% Corpus,8,0.9099999999999999,symmetric,0.40184678715480454
100% Corpus,8,symmetric,0.01,0.33910716396537893
100% Corpus,8,symmetric,0.31,0.3322528984054076
100% Corpus,8,symmetric,0.61,0.31700783661525356
100% Corpus,8,symmetric,0.9099999999999999,0.32564219695918056
100% Corpus,8,symmetric,symmetric,0.32885758741666493
100% Corpus,8,asymmetric,0.01,0.4029041999504034
100% Corpus,8,asymmetric,0.31,0.36489617420634657
100% Corpus,8,asymmetric,0.61,0.42904394123856016
100% Corpus,8,asymmetric,0.9099999999999999,0.4122099895769793
100% Corpus,8,asymmetric,symmetric,0.39113203341577185
100% Corpus,9,0.01,0.01,0.40124251561950286
100% Corpus,9,0.01,0.31,0.3512098877786829
100% Corpus,9,0.01,0.61,0.3722903308576855
100% Corpus,9,0.01,0.9099999999999999,0.3252254183425627
100% Corpus,9,0.01,symmetric,0.3874240652903228
100% Corpus,9,0.31,0.01,0.3933204375709986
100% Corpus,9,0.31,0.31,0.3836659177362809
100% Corpus,9,0.31,0.61,0.3447470331304178
100% Corpus,9,0.31,0.9099999999999999,0.2966493988797916
100% Corpus,9,0.31,symmetric,0.3713206868220472
