created_at,author_id,tweet,retweet,reply,like,quote
2021-12-03 15:14:43+00:00,1408380013104140296,katanya ppkm dilanjutkan sampe hari kiamat,0,9,0,1
2021-12-03 15:14:29+00:00,1009514449063981056,2020 psbb ppkm 😭,0,0,0,0
2021-12-03 15:13:35+00:00,1341436258287960065,ini nanti tanggal 24-25 aku gabisa ke rumah papa dong kalo ppkm. sedih bangett,0,0,0,0
2021-12-03 15:09:44+00:00,2351396498,"hbd wyatb gbu ootd qotd tft tfa tfc tfi fff lfl wdyt bpjs lpg txt bts fyi cmiiw spbu tpu brb gws ppkm sbmptn snmptn ldr bpupki mtk btw lol ovt rsj gpp tgif bh twt oot diy otw pap kuy dpr cod afk tbl tbl tbl ggwp asap aka dm mt lmao omg bt php, Sokjing hyung!

ㅡ Jimim keren. ✦ https://t.co/h0dpH68uMI",1,1,1,0
2021-12-03 15:09:26+00:00,815214751902900224,@inikanzizah Ppkm ta?,0,1,0,0
2021-12-03 14:59:44+00:00,986803535823093760,"Bhabinkamtibmas Terboyo Kulon Aiptu Sahidin Kegiatan Sambang dan PPKM Mikro Himbau Warga Download Aplikasi Libas dan Patuhi Protokol Kesehatan 5M Bersama Cegah Covid-19 

@DivHumas_Polri
@bidhumasjateng 
@HumasTabesSmg https://t.co/ViTWvGv0wB",0,0,2,0
2021-12-03 14:57:39+00:00,1419291400571473920,@onchyaw @nieke_aereta Ttg ppkm ngehek itu loh,0,0,0,0
2021-12-03 14:57:03+00:00,1458193514714439691,"Yahya Staquf Intervensi Muktamar, Memaksa dikala PPKM NATARU #GusYahyaAntekZionis #BahayaLatenAsing #NUAntiYahudi #TolakOligarkiNU #TolakCalonHMI #TolakAntekAsing
https://t.co/LoVGgb4H4j",0,0,0,0
2021-12-03 14:56:04+00:00,1063485730729615361,HARUS SEIRAMA Pusat Sampai Daerah Soal Pemberlakuan Level PPKM https://t.co/t5nmjsA6zQ,0,0,0,0
2021-12-03 14:53:24+00:00,938529989837725697,"Petugas PPKM Pandean Mikro Zonasi Kel. Gayamsari Polsek Gayamsari Aiptu Yudi Subiyantoro Melaksanakan Sambang Binluh dengan Security Astra Internasional TBK di Jl. Majapahit Kel. Gayamsari, Kec. Gayamsari Kota Semarang

@divisihumaspolri @humas_poldajateng @polritvradio https://t.co/JA4exoSiR9",0,0,0,0
2021-12-03 14:52:44+00:00,792906127939805184,"bm ppkm, peluk peluk kamu",0,0,0,0
2021-12-03 14:50:39+00:00,1206448394039742464,"@tukangrosok___ @aniesbaswedan @DKIJakarta Menjelang Nataru 2022, Begini Aturan Perayaan Natal di Tengah PPKM Level 3 https://t.co/N2LR07D9a6",0,1,0,0
2021-12-03 14:49:55+00:00,1243431151961649152,"PIKET POSKO SIAGA BENCANA &amp;
PIKET POSKO PPKM MIKRO COVID-19  KELURAHAN KAMAL

Jum'at , 03 Desember 2021
@DKIJakarta @kotajakbar @SatpolPP_DKI @aniesbaswedan @ArizaPatria 
#KelurahanKamal https://t.co/V7paRyt73H",0,0,1,0
2021-12-03 14:47:57+00:00,1014118733755777026,"#seriusnanya.
Apa sih bedanya WSBK yang lalu dan NATARU nantinya. 
Bukannya sama sama ramai dan sama sama mengundang wisatawan- kan. Tapi kenapa yg diberlakukan ppkm waktu Nataru aja  ya~",0,0,0,0
2021-12-03 14:46:22+00:00,1332241207225851905,"Sosialisasi PPKM Skala Mikro Oleh Satgas Tangkal Covid-19 Kodim 1207/PONTIANAK

(Pendim 1207/PONTIANAK)

#TNIADMengabdiDanMembangunBersamaRakyat 
#pendim1207PONTIANAK https://t.co/EbBJeYWRod",0,0,0,0
2021-12-03 14:45:01+00:00,1358441414573494272,"EGAK JELASSSS, DIKIRA KITA HABIS FINAL TEST GAK BUTUH REHAT APA? DIKIRA GAK STRESS MENTANG2 UJIAN ONLINE? STRESS PAK, BU, TOLONG PENGERTIANNYA LAH. APA KALO KITA PTM GK BIKIN KASUS NAIK? KALO LIBURAN PUN MAU KEMANA? ORANG PPKM LAGI, AH GAK JELAS LO SEMUA https://t.co/WCR5iD5Jjn",0,1,0,0
2021-12-03 14:44:36+00:00,1261951270383808512,"Apa enggane sida PPKM ya Lurs? Infone jajal mbokan ana sing ngerti 🙏🏻😅

Sc : DM

#cilacap #cilacapkekinian @ Cilacap Kekinian https://t.co/dhSIxBLtgG",0,0,0,0
2021-12-03 14:43:38+00:00,280889511,@tarogemini Pasti bona pulang sebelum ppkm kan,0,1,0,0
2021-12-03 14:42:15+00:00,1347493818799583236,@oharucchi @pdfnina bnr anjir apalagi ini karena ada ppkm kan tp ppkm tetep jalan trs ptm jg berjalan TRS BEDANYA APA AJG!!!!! mending ppkm + liburan semester ISTIRAHAT SEMESTER LAHHHHHH ADUH,0,0,0,0
2021-12-03 14:42:07+00:00,1336695022171824129,"@LockeyChip @saayyanggg Jirrr.. ppkm level 3 oyy.. tutupp lapak, ntar digrebek eh",0,1,0,0
2021-12-03 14:40:43+00:00,1213860993886851072,@hidayatwahyu11 Masa ppkm lagi,0,0,0,0
2021-12-03 14:38:47+00:00,38397108,Makasih 12.12 :”) terbangke setelah ppkm lalu. Pukpuk,0,0,0,0
2021-12-03 14:37:54+00:00,1464415483747356677,"@DetektifDrama #JanganDibikinDrama Pas liburan sekolah di saat PPKM kita rombongan rekreasi di suatu tempat di kota Blitar dengan naik bus, eh setelah tiba di sana ternyata tempat rekreasinya di tutup duh kecewa deh, tapi kita bawa makanan banyak di makan di dalam bus pokoknya tetap asyik deh..",0,0,0,0
2021-12-03 14:37:22+00:00,337091992,"@titaadelia Gabisaa pulangg, ppkm:)",0,0,0,0
2021-12-03 14:36:12+00:00,859391858178351105,"ppkm ya ppkm aja ngab, ngapain segala ngundur liburan? seneng lu ngeliat murid sakit jiwa? demi Allah gua bener-bener mau muntah ngeliat layar hp, ngeliat layar laptop. gua maen ama temen aja nyuri waktu. kita-kita stress di rumah, lu mah enak enak aje pariwisata pake duit haram",0,0,0,0
2021-12-03 14:35:17+00:00,883035025477820416,@cuewg Ppkm dilawan~,0,0,0,0
2021-12-03 14:34:05+00:00,1362017926304309248,@WellyFarel @theo12_ini @newIding30 @R4niaSenja @KeiraSenj4 @tnmuda @NgkongRoses @Theking_salaman @arif_rintang @RenaHoston178 @BPrima777 @BromocorahGrCeb @aan_muba @DiniHrdianti @rolfStebbens4 @Retro__70 @retnosetyow4t @mikuroQ @YusuwaW @NartoNang2 @Heni_pwti @RaniKancana_ @caesar_emil @sankuroZ @benzsheregar @kasrulsani9 @BakoelWedang @45d3nn_ @WidzDj @XDonjuanX8 @tinpkel @kangmul58 @Tania80561753 @repa_jani @suchiQoe @MusaRudy_Stpl @Yana3437 @Eca54269396 @sitorusronald69 @AbdillahakbarR1 @Siahaan777111 @SitiZah07575965 @HorasSiagian3 @Lilinke26203206 @r3yn4_t4 PPKM Level 3 😂,0,1,5,0
2021-12-03 14:32:57+00:00,1235524382497234945,"@dahidaahh @convomf kena kak, soal.a ppkm",0,1,0,0
2021-12-03 14:32:48+00:00,1034832277,@boyzactiviteez Lah baru tau sumpah... efek ppkm kah?,0,1,0,0
2021-12-03 14:31:41+00:00,1049842171824627713,"@gibran_tweet @Gus_Raharjo jare meh di undakne level PPKM, suk yen wis gak mundak wae",0,1,1,0
2021-12-03 14:30:52+00:00,1459786110029090817,Nanti akhir tahun jadi ppkm ga sih guys?,0,0,0,0
2021-12-03 14:28:02+00:00,1403315139558838275,"melaksanakan  patroli Woro Woro dan operasi masker : 
1.agar selalu mematuhi 5M 
2.himbauan kpd masy ttg 
- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/O6we5knhfa",0,0,0,0
2021-12-03 14:27:46+00:00,1403315139558838275,"melaksanakan  patroli Woro Woro dan operasi masker : 
1.agar selalu mematuhi 5M 
2.himbauan kpd masy ttg 
- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/Hsm586dZUa",0,0,0,0
2021-12-03 14:27:26+00:00,1403315139558838275,"melaksanakan  patroli Woro Woro dan operasi masker : 
1.agar selalu mematuhi 5M 
2.himbauan kpd masy ttg 
- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/S7eBQ91X7X",0,0,0,0
2021-12-03 14:27:14+00:00,1403315139558838275,"melaksanakan  patroli Woro Woro dan operasi masker : 
1.agar selalu mematuhi 5M 
2.himbauan kpd masy ttg 
- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/PptBo95KRd",0,0,0,0
2021-12-03 14:26:59+00:00,1403315139558838275,"melaksanakan  patroli Woro Woro dan operasi masker : 
1.agar selalu mematuhi 5M 
2.himbauan kpd masy ttg 
- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/g2N4nihd6e",0,0,0,0
2021-12-03 14:26:53+00:00,1358740170573402114,ppkm jahahaha https://t.co/ujgNo3EXhd,0,0,0,0
2021-12-03 14:26:37+00:00,1431175728045821953,"@baecygne Gabole dibuka maskernya, ppkm 🙏 btw nado saranghae 🤒🤍",0,0,1,0
2021-12-03 14:26:05+00:00,1435623496613130242,"@ORAbaperan Jajalo pasang tenda pas PPKM
Itu sebagian kecil terkabulnya doa mantan wkwkw",0,2,1,0
